id,datoid,band,long,lat,read,map,map_rescaled
40246,4677,11,2.8736270811196456,38.07335179549272,1.61,1291,0.1291
40247,5218,07,2.243706394272261,37.93470020204752,1.34,1298,0.1298
40248,5798,02,2.738879003374159,37.46978768606364,0.56,1600,0.16
40249,5955,12,2.4696368016140067,37.18428665722181,7.13,1301.5,0.13015
40250,8410,04,2.1886824442312487,37.57817887861569,2.23,1317,0.1317
40251,4740,07,2.2335939234733195,38.347244030061795,2.87,1298,0.1298
40252,4532,04,2.7837972891511376,38.56669686986363,1.19,1317,0.1317
40253,3803,05,3.053300062530809,39.33515862983402,6.54,1327.5,0.13275
40254,4129,03,2.918311925297001,38.28512033044655,1.74,1402,0.1402
40255,4165,02,3.6372029786940545,38.24973506918832,1.51,1600,0.16
40256,8897,07,2.1144482877406645,37.76041860502896,1.55,1298,0.1298
40257,13337,02,4.670317874211966,38.355664487683775,1.67,1600,0.16
40258,8748,04,2.1641965453057685,37.29351417422929,3.23,1317,0.1317
40259,8047,11,3.1880494042058998,39.230858245774066,16.13,1291,0.1291
40260,5928,8A,3.1431172601190336,37.25559097259103,5.06,1326.5,0.13265
40261,5789,11,3.0532885560103344,37.50542847474289,1.64,1291,0.1291
40262,8232,02,3.322793690162572,38.777102722232065,3.57,1600,0.16
40263,8721,04,2.082823020009807,37.369666071861296,7.66,1317,0.1317
40264,8396,04,2.3716384230527994,37.42016327402649,3.08,1317,0.1317
40265,8347,03,3.592291405128879,38.46126227662661,0.19,1402,0.1402
40266,7559,08,4.221120843721942,39.02178552009401,0.84,1308.5,0.13085
40267,11187,02,4.086361431034201,38.03797949565641,2.56,1600,0.16
40268,4624,03,3.1881243560399457,38.178596055858435,1.69,1402,0.1402
40269,8656,03,2.3798678354717016,37.25563501705263,3.24,1402,0.1402
40270,8283,12,3.3444999572572294,38.48063299613256,1.36,1301.5,0.13015
40271,7585,8A,4.266458195375594,38.98676248166766,0.71,1326.5,0.13265
40272,7759,04,3.7719564148902105,38.63689871431031,1.81,1317,0.1317
40273,3748,12,3.0083771019210914,38.847100565247686,1.69,1301.5,0.13015
40274,4488,06,1.917031366019281,39.07604858180829,7.03,1296,0.1296
40275,13425,8A,4.805063704372611,38.285187443848855,1.55,1326.5,0.13265
40276,3753,12,2.424420444045974,38.81220813657151,2.34,1301.5,0.13015
40277,4902,03,1.7827670067997798,38.59294297425526,5.28,1402,0.1402
40278,13442,11,4.266080381035083,38.073345558222336,4.89,1291,0.1291
